time,type,trajectory,validation
22.8,car,"[[313,115.3125,156,72.6875,null],[350.5,114.125,140.5,68.5,null],[383,114.875,129,62.25,null],[412.75,115.125,111.75,55,null]]",
22.1,car,"[[261.5,77.5,67.5,30.75,null],[260.75,76.5625,67.5,32.75,null],[258.5,76.625,69,33.625,null],[248,77.25,74.5,33.25,null],[253,76.875,70,33.5,null],[248.5,77.0625,71.5,33.375,null],[243.625,77.1875,72.125,32.5,null],[244.875,77.125,72.125,33.375,null],[239.5,77.25,72,33.125,null],[238.5,76.625,69.5,33.875,null],[231.875,76.125,72.625,34.125,null],[229.125,77.0625,72.875,33.5,null],[224.75,77,72.5,33.375,null],[218.625,76.875,74.875,34.375,null],[214.375,77.375,76.125,33.625,null],[210.5,77.3125,74.75,33.75,null],[203.875,75.875,75.375,35.375,null],[196.625,75.6875,76.375,35.5,null],[192.875,76.625,76.875,34.75,null]]",
25.5,car,"[[277.5,94.1875,178,89.5625,null],[317.25,94.375,164.5,85.5,null],[369.5,90.0625,141.5,83.1875,null],[393,92.875,134.5,76.5,null],[412.5,92.375,129.5,72.5,null]]",
26.5,truck,"[[239.75,74.875,87,34,null],[233.875,74.25,87.375,34.625,null],[224.875,73.5,91.125,36,null],[210.125,72.5,92.875,37,null],[195.125,72.3125,94.875,37.125,null],[191,70.875,95,37,null]]",
27.6,car,"[[242.375,113.5625,171.125,79.9375,null],[284,112.875,156,71.25,null],[322.25,111.9375,143.5,68.0625,null],[355,113.6875,126,60.5625,null],[385.25,112.3125,108,57.8125,null],[411.25,111.5625,97.5,53.5625,null]]",
27.8,car,"[[235.125,85.9375,74.625,27,null],[220,86.375,76,27,null],[205,83.3125,80,31.25,null],[190,84.3125,80.5,30,null]]",
30.8,truck,"[[246.75,85.375,209.5,101.25,null],[274.75,83.375,204,101.75,null],[317,87.0625,173.5,92.9375,null]]",
29.8,truck,"[[338,86.25,114.5,61,null],[358.5,87.75,111.5,57.875,null],[380.75,93.25,138.25,74.5,null],[396.25,92.875,135.75,67.75,null]]",
32.5,truck,"[[275,93.125,181,86,null],[313,91.5,165,84.5,null],[348.5,91.3125,135.5,80.9375,null],[375,92.75,131.5,74.25,null],[401.5,95.125,117,68.75,null]]",
34.4,car,"[[215.25,81.875,69.5,25.375,null],[200.375,80.375,71.125,28.25,null]]",
34.1,car,"[[267.25,99.8125,168,83.4375,null],[299.5,100.125,153.5,78.25,null],[335.5,99.375,136,73,null],[361,99.6875,124.5,68.5625,null],[390,102.4375,113.5,62.0625,null],[412.5,99.625,101,59.25,null]]",
34.6,car,"[[294.75,82.75,61,29.25,null],[278.75,81.5,65.5,31.125,null],[260.25,80.1875,71,32.125,null],[240.875,79.0625,76.125,33.375,null],[223.75,79.875,76.5,33,null],[206,77.6875,79.5,35.25,null]]",
36.4,car,"[[259.5,96.375,120.5,52,null],[291.5,98.875,107.5,47.75,null],[322.75,97.375,105,47.5,null],[344,98.8125,97,44.3125,null],[367.5,99.25,87.5,44,null]]",
37.2,car,"[[255,88.125,183,91.75,null],[293.75,91.875,167.5,84,null],[243.125,82.25,67.375,30.5,null],[223.875,83.25,71.625,29.75,null],[198.375,81.25,77.625,32.25,null]]",
38.6,car,"[[275.5,97.8125,111.5,49.6875,null],[306,99.125,105,45.875,null],[334,97.375,96.5,46.25,null],[358,98.625,91.5,44.25,null]]",
39.0,car,"[[303,111.625,124,64.25,null],[348.25,111,110,58.75,null],[379.75,109.3125,100.5,56.4375,null],[401,111.25,90,48.75,null]]",
40.2,truck,"[[236,87.75,158.5,65,null],[272.5,86.625,139.5,63,null],[304,84.3125,135,65.1875,null]]",
40.7,car,"[[279,77.5625,71,33.75,null],[258.5,77.875,73,32.625,null],[242.25,77.625,76.5,32.75,null],[223.375,75.0625,80.625,35.25,null],[194.125,74.9375,86.125,36.875,null]]",
41.5,car,"[[248,107.625,167.5,80.25,null],[276.75,110,153,69.25,null],[303,109.5,144.5,68.25,null],[326.5,104.375,143.5,73.5,null],[349,109.375,129,62.5,null],[369.5,112.125,104,54.25,null],[389.5,111.375,107.5,54.25,null],[410,111.25,101,51.5,null]]",
41.9,car,"[[271,72.75,79,36.25,null],[253.875,73.875,83.125,34.75,null],[234.625,72.25,91.125,35.5,null],[213.75,71.3125,94,35.625,null],[193.5,71.625,97,37.25,null]]",
42.3,car,"[[246.625,91.5625,126.875,58.5625,null],[275.5,90.3125,116,57.1875,null],[306,95.875,108.5,49.375,null],[333,96.9375,99,46.3125,null],[356.75,99.3125,90,42.1875,null]]",
43.6,car,"[[264.25,81.375,64,26.625,null],[247.5,81.75,64.5,26.75,null],[222.375,81.1875,70.125,27.5,null],[198.875,80,74.375,29.25,null]]",
43.5,car,"[[307.25,90.375,155.5,79.5,null],[323.25,89.9375,151,76.8125,null],[344.25,88.25,135.5,75.75,null],[357.75,90.375,127.5,71,null],[372,87.9375,124,71.8125,null],[381.25,90.75,119,66.25,null],[387,89.375,110.5,64.5,null]]",
44.9,car,"[[259.75,93,113,52.25,null],[289,96.5,103.5,47.5,null],[322.5,100.25,95.5,42.125,null],[341.75,97.625,91.5,42.75,null],[364,99.625,84.5,41.75,null]]",
45.6,truck,"[[272.25,89.75,159.5,89,null],[300.5,90.4375,146.5,83.8125,null],[329.25,93.75,136,78.75,null],[354,94.75,123,72.75,null],[373.25,94.6875,114.5,68.5625,null],[394,93.0625,104.5,69.1875,null],[412.5,94.375,97.5,64.625,null]]",
46.9,car,"[[238.75,95.375,119.5,52.625,null],[268.75,97.625,109.5,47.375,null],[296.5,95.5,101,48,null],[318.75,96.9375,95.5,44.5625,null],[342.75,98.1875,90.5,41.4375,null],[365,99.5,82,39,null]]",
46.5,car,"[[264.25,107.625,154,75.75,null],[291.5,107.3125,144.5,70.6875,null],[317,107.625,131.5,66.75,null],[345,106.4375,116.5,63.8125,null],[364.5,106.75,108,59.75,null],[383,108.875,102,54,null],[403.5,109.3125,95,49.4375,null],[246.625,78.25,69.375,30.625,null],[228.25,78.0625,71.5,31.125,null],[208.625,77,75.125,32.75,null],[188.375,75.5625,78.625,36.125,null]]",
48.7,car,"[[325.75,82.25,107.5,56.625,null],[341.25,83.75,101,53.375,null],[354,82.625,94,52.625,null]]",
49.3,car,"[[265.5,79.125,59.5,27.875,null],[251,78.4375,61,28.25,null],[235.125,77.6875,64.125,29.75,null],[216.75,77.5625,67.25,30.5,null],[198.25,77.4375,69.75,31.125,null]]",
50.1,car,"[[269.75,77,54,25,null],[254.25,76,57,27.375,null],[238.5,76.5,59.5,26.875,null],[226.25,77,56.25,25.75,null]]",
50.8,car,"[[232.875,83.625,125.625,60.25,null],[259.75,83.6875,115.5,59.1875,null],[280.75,85.75,109,53.25,null],[303.25,83.625,102.5,53.5,null],[321.5,84.5,97.5,52.25,null],[340,87.0625,92,47.5625,null],[355.75,87.5,86,46.125,null]]",
53.5,truck,"[[222,80.75,180.5,95,null],[242.25,80.3125,169.5,92.4375,null],[265.5,80.4375,159,89.0625,null],[303.5,83.875,137,80.375,null],[320,85,118.5,75.375,null],[334.5,83,114.5,75.75,null],[350,82.25,109,75.625,null],[363.75,86.25,101.5,70,null],[371.5,85.5,100,69.375,null],[384,90.75,93.5,61.5,null]]",
55.1,car,"[[210.375,76.125,63.625,26.625,null],[189.75,73.625,67,30,null]]",
